Name,Hidden,Completion Status,Community Score
​RELEVƎ⅃ƎЯ,False,9 - Trash,
"""Gamer""+ Crossroad of Sympathy",False,9 - Trash,
(Not Escape Room),False,9 - Trash,
[ENDLESS_OVERDRIVE],False,9 - Trash,
[Speer],False,9 - Trash,
_________ (What Even Is That Thing?),False,9 - Trash,
</reality>,False,9 - Trash,
10 Beautiful Postcards,False,9 - Trash,
10 Flights of Ballooning,False,9 - Trash,
10 in 1 game-a-week bundle!,False,9 - Trash,
10mg: Cover Me In Leaves,False,9 - Trash,
10mg: Locked In,False,9 - Trash,
10mg: Sealed Estate,False,9 - Trash,
10mg: SNAAAK,False,9 - Trash,
10S,False,9 - Trash,
112 Operator,False,5 - Uncategorized,85
1993 Space Machine,False,5 - Uncategorized,70
2   9   0   1  / / FREELANCER,False,9 - Trash,
2000:1: A Space Felony,False,9 - Trash,
2064: Read Only Memories,False,5 - Uncategorized,80
20x20x20,False,9 - Trash,
2-3-5-7,False,9 - Trash,
2ECONDS TO STΔRLIVHT: Forever My Diamond,False,9 - Trash,
"2ECONDS TO STΔRLIVHT: My Heart's Reflection",False,9 - Trash,
3310 Jam- Nokia World,False,9 - Trash,
6 pack of craft games,False,9 - Trash,
7 Second Haircuts,False,9 - Trash,
8 Bit Space (ZX Spectrum Inspired Platformer),False,9 - Trash,
8 Links,False,9 - Trash,
911 Operator,False,5 - Uncategorized,70
96,False,9 - Trash,
A Dance of Fire and Ice,False,5 - Uncategorized,84
A Forgetful Loop,False,9 - Trash,
A Good Snowman Is Hard To Build,False,5 - Uncategorized,68
A Hell of a Journey,False,9 - Trash,
A Hole New World,False,5 - Uncategorized,70
A Kishoutenketsu in the countryside,False,9 - Trash,
A Light Long Gone,False,9 - Trash,
"A Mortician's Tale",False,5 - Uncategorized,71
a new life.,False,9 - Trash,
"A NIGHTMARE'S TRIP",False,5 - Uncategorized,70
A Normal Lost Phone,False,5 - Uncategorized,77
A Planet of Mine,False,9 - Trash,
A Short Hike,False,6 - Completed,72
A Sketchbook About Her Sun,False,9 - Trash,
"A Snake's Tale",False,5 - Uncategorized,70
A Wave of Lights,False,9 - Trash,
A Way Out,True,5 - Uncategorized,79
A Way Out,False,6 - Completed,87
A Year Of Rain,False,5 - Uncategorized,47
Aarre Safari Ride,False,9 - Trash,
"About Love, Hate & the other ones",False,9 - Trash,
Absolute Blue,False,5 - Uncategorized,50
AcChen - Tile matching the Arcade way,False,9 - Trash,
Adios,False,5 - Uncategorized,80
adjacency,False,5 - Uncategorized,70
